dbn,comments
11X567,"['This school is HORRIBLE, and so is the Principal!! I wonder how she is allowed to continue to lead. Maybe things will change now that a new superintendent has been appointed. For the sake of the innocent children and demeaned teachers, I sure hope this is the case. \n\nMy child has suffered tremendously, from not receiving mandated services on his IEP to being bullied in front of several adults without any help! He has been placed in an ICT where there isn\'t even 2 teachers. My son is also an ELL student and has not saw the ELL teacher yet. I brought it to her attention on several occasions to know avail! She spent more time lying, making excuses and covering things up than correcting or just being honest. She even ""forced"" teachers to lie. My child will no longer be attending this school. I suggest all the parents smarten up!!\n\nWe wonder why education is in the state it\'s in....it\'s because of leaders and places  like PS 567!']"
12X006,"[""The school is bad. The kids are out of control. They are disrespectful to the teachers and staff. They talk back, don't follow instructions, and are defiant when it comes to discipline. Everyday there is a fight. What's sad about it is that often this attitude is a reflection of their home life. Also, if there is a problem, the teachers and staff don't follow the procedures. A kid choked my child in the hallway.  I filed a complaint and i had to keep calling to make sure they were on top of it. In the end that kid is still in school and the school's only response is they're working with that kid and she's going through a lot of problems. My children have to defend themselves on a daily basis because kids want to hit and cause trouble. When I  complained  to the teachers, no one wants to resolve the issue. They keep passing it to the next person. They really don't have the best interests at heart and their jobs are just a paycheck. This school has too many issues. ""]"
12X044,"['I don’t recommend this school for no one this is the worst school my child when to the principal is a mess she dosent know how to rule  like a principal and some of the teacher don’t even know what to explain when something is going on with your child in regards to incident ect they don’t even watch over bulling they wanted to grade my child as a crazy child and me as a negligent parent when I was always their for my kid and everything that was wrong was in school after my child left that school and I put him/her on another one is doing much better and he school dosent call me for any complains..This school called me as soon as I drop my child at school even lost my job and they want to say am negligent parents please look out for this school the principal is a dummy they would try to rate your child as if they crazy just to hide what’s really going on in the school almost every staff their is the principal puppet they get together to plan stuff agains the student..', 'PS 44 will share a ""recess coach"" with four other elementary schools as part of a program teaching games and encouraging students to play respectfully. Read more <a href=""http://nypost.com/2015/10/11/city-pays-recess-coaches-to-teach-kids-playground-games/"">here</a>.', 'P.S. 44 landed on the state Education Department’s list of “persistently dangerous schools"" in 2014. Schools on the list have a high number of violent or disruptive incidents. Read more <a href=""http://www.nydailynews.com/new-york/education/city-schools-state-persistently-dangerous-list-article-1.1893403"">here</a>.', 'I loved this school me my brother and cousins went here from kindergarden to 5 grade graduated in 1986 still remember all my teachers loved them all and went to IS193 afterwards also graduated I miss those days..', ""I understand I also had a child that has full iep 12.1.1 and they only giving her 12.1.1 two times a week and get this some one just told me that they trying to fully remove 12.1.1 and put my baby in a normal class full time where is the justice in all this our kids need this help and the school is not evening trying to help and this is my zoned school but they do not have all the services my child needs and are trying to get me to sign a paper stating that I'm ok with her being in a class full of 25-30 kids I'm going to the district and we need to stand together cuz we are our kids  mouth  and we need to yell for them so we can be heard""]"
12X047,"['Ira Victor\nI was the previous principal of CS 47 and am proud of the excellent education we provided to students in that community.  The parents, staff and administration always worked as a family to meet the needs of each and every student.  I am thrilled to watch the continuing success story.  I congratulate all on a job well done.  CS 47 continues to be a wonderful school.', 'my son is going for an interview there on wednesday.']"
12X057,[]
12X061,['Tareas']
12X066,"['PS 66 in the Bronx is one of 11 schools featured in the findings of a federal investigation that determined 83% of New York City elementary schools are not ""fully accessible"" for students with disabilities. Read more <a href=""http://www.nytimes.com/2015/12/22/nyregion/most-new-york-elementary-schools-are-violating-disabilities-act-investigation-finds.html?ref=education&_r=0"">here</a> and see the report <a href=""http://www.justice.gov/usao-sdny/file/801171/download"">here</a>.']"
12X067,['Interesting since the no child left behind act was in place since 2002...']
12X098,"['this school is horrible. they pick and choose which students they want to pick on. Ms.Little is on the PTA and deals with most issues that I feel like guidance counselors and Ap’s and Deans should deal with. she’s also another one who picks and chooses which children to pick on. shes rude and tells fanilys other family’s business, from experience. all they do is try to kick the students out of the achool instead of working with the problematic students. they’re horrible in this school. H O R R I B L E', ""This school is great.I'm pretty upset now because I wrote a huge statement on how amazing this school is and how this school has made me mature but I pressed a different key and it all went away.""]"
12X129,"['Students at MS 129 are spending their lunch time playing classic American games like UNO and Connect Four in a pilot program seeking to re-imagine the cafeteria. Read more <a href=""http://www.ny1.com/content/news/education/219473/middle-schools-re-imagine-cafeterias-in-pilot-program/"">here.</a>']"
12X134,"['The <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2015-2016/Chancellor+Farina+Announces+38+New+Bilingual+Programs.htm"">Department of Education has announced</a> that PS 134 will have a Spanish transitional bilingual education program from the start of the 2016-2017 school year.', '', 'no it not']"
12X150,"['A former teacher writes: ""Great administration that supports teachers and provides curriculum in order to help students succeed 3 social workers are dedicated to support the students on a daily basis.\n--Dedicated Literacy Coaches\n--Dedicated math coach\n--2 science clusters\n--2 tech teachers, one room with state of the art macs\n--Smartboards in every classroom\n--Dance cluster with 2 major shows a year (Holiday and Spring)\n--PE cluster\n--SS Cluster\n--2 full day pre-k classes\n-Recipient of many Grant programs, tech, healthy fresh fruits for the students daily\n--Strong teaching staff\n--no dedicated art room or science lab\n-older building\n--most gen ed classes have max of 32 students\n--for the most part each grade has ICT and bi-lingual classes\n--12:1:1 self-contained bridge classes \n-3 APs - 1 has been added for Fall 2013\n--students play at park across the street after lunch, the street is closed off to keep students safe\n--wonderful school aides that have been there a long time and are hard workers\n--Many after school and weekend programs to support students and parents\n--Librarian has many parent workshops\n--ESL workshops for parents', 'A former teacher writes: ""PS 150 in the Bronx is a good place with an amazing administration that supports the teachers and helps the students."" While ""the students are very high needs and have issues,"" the teacher says the school has ""three social workers dedicated to helping students resolve issues on a daily basis.""']"
12X190,"[""I believe a good school starts with a good leader infact this school is failing in leadership when the principal  lies. And he picks on certain kids. I never believed my son and told him to behave but after speaking to the principal I now know who is the problem. The principal speaks to me a parent as if I am a child he has lied to me on multiple occassions About my child. you need better leadership in this school. The previous principal was great. One more thing I don't understand why a principal that does not speak spanish would be put to run a school that is 73 percent Hispanic wrong move"", 'IS 190 students had their original song performed by the cast member of ""Mathilda"" at a special event hosted by the show\'s producers, the Royal Shakespeare Company. Read more <a href=""fo.com/new-york/20141212/times-square-theater-district/nyc-public-school-kids-see-their-scenes-performed-by-cast-of-matilda"">here.</a>']"
12X195,[]
12X196,"['The <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2015-2016/Chancellor+Farina+Announces+38+New+Bilingual+Programs.htm"">Department of Education has announced</a> that PS 196 will have a Spanish transitional bilingual education program from the start of the 2016-2017 school year.', 'This is the worst school ever in the history of schools. My 8 year old daughter is is in the 2nd grade. Very nice teacher but the rest of the staff are horrible to the children. Especially the security guards. They are very mean to the parents always with an attitude. The lunch lady are always mean to the kids as well and  lets not even talk about the food, just plain disgusting. Needless to say they lost a child at that school that escaped from the back door this fall. Mom found the child walking a couple of blocks from his home. I am not sending my child to this school next year. ']"
