dbn,comments
30Q149,"['Hi, I am a former student that graduated in 2006. I am grateful till this day the love and patience my teachers gave me through the years at P.S 149. I am currently applying for Law School as graduation for my bachelors is coming up. Just want to say, Thank you for the administration (even tho it was a decade ago) my time spend there was gold. Always recommend this school.', 'PS 149 Third Grader Emily Herra\'s poem ""Neon 206 https://uploads.disquscdn.com/images/38b9228ed1347c815bc3d85f30eee153b7b18f91fd9af3b49ca692b0cffd698a.jpg "" is featured as part of the Chihuly blown glass art exhibit at the New York Botanical Garden.', 'Three PS 149 kindergarteners were found by a passerby and returned to school after they wandered out of the building to a nearby park. Read more <a href=""http://www.ny1.com/nyc/all-boroughs/education/2016/01/11/three-second-graders-wander-out-of-their-queens-school--police-say-they-were-not-notified.html"">here</a>.', 'I have a daughter going into second grade, and I have been more and more pleased with the school every year she is there.  Her teachers have been very kind and creative, while academically solid. The dual language program is a fantastic opportunity. My daughter reads, writes, and speaks, not to mention does math, in English as well as Spanish. Family and friends are amazed at this ability, something you would not get at most charter or private schools.  The parent coordinator is very responsive as are the administrators. I wish that there were more forums in which parents could discuss ideas without having to run for office in the PTA, but other than that, I am happy we stuck with our neighborhood school.', 'Chancellor Fariña announced former PS 149 principal, Milady Baez will come out of retirement to run a newly independent office of English Language Learners in the DOE. Read more <a href=""http://ny.chalkbeat.org/2014/08/28/farina-taps-milady-baez-to-run-a-newly-independent-department-focused-on-english-learners/#.VAdOu0tjcds"">here</a>.']"
30Q150,"['PS 150 President Carmen Parache has created an environment where students learn by hands-on investigation and engagement with their culture and community, <a href=http://queenslatino.com/escuela-publica-150-de-queens-ensena-a-sus-alumnos-a-explorar-y-participar-en-sociedad/>Queens Latino reports (en español)</a>.', ""Hi, I'm considering this school for next year (pre-k) and I would love to have any updates about the drama I've been reading about the teachers and the principal. Otherwise it looks like a great school."", ""It is sad for me to hear that a Principal doesn't have to be a teacher first. It doesn't even make sense. How does a principle get replaced then?""]"
30Q151,"['151 has come a long way, but don\'t let it fool you, it has a long way to go.  Most of the teachers are good, but there is always at least one teacher on each grade that isn\'t as good as the others.  My child hardly ever spent time in the ""beautiful"" library as most of the times his class was scheduled the visit was cancelled.  What\'s the point of even having it then? My son had the same book for just about 2 months!  There are very few school assemblies or programs that are brought in, minimal trips, and few extra curriculars.  It\'s nice that they have a music teacher, but explain to me why my child didn\'t have music for 2 years in a row?  I think I heard that there may be an art teacher now, but who knows if they even see all of the students.  Oh and the gardens mentioned in an earlier post?  Take a look at the front of the building, what garden?! Luckily, my child was blessed with great teachers for the most of his time at this school, but still a clearer picture of 151 needs to  be reflected on these boards.', 'The Department of Education will remove transportable classroom units (TCUs) from PS 151 and relocate PS 225 students studying there, <a href=https://www.dnainfo.com/new-york/20170314/woodside/ps-151-ps-255-tcus-trailer-classrooms-doe?utm_source=Master+Mailing+List&utm_campaign=e5de8e79d4-EMAIL_CAMPAIGN_2017_03_15&utm_medium=email&utm_term=0_23e3b96952-e5de8e79d4-75750697>DNAinfo reports</a>.', ""I am disappointed in PS151, they boast a beautiful library but it is just for show. It reminds me of my mother's living room sans the plastic covered furniture.  My child has yet to step inside of it this school year. What is the point of having it, if it is NOT being used. I will be going elsewhere next year. I am in the process now of visiting other schools.""]"
30Q152,"['Ps 152 queens', 'Horrible school! Rude staff, rude teachers. Yelling and screaming at the kids every morning and during pick up. There is no parent association here. My son attended kindergarten and we switched immediately in first grade. His teacher Ms.Destasio was calling him names. He was 4 year old and on the spectrum, was disciplined by the staff by segregating from the rest of the children to sit on the bench by himself for a long time. Nobody bothered to contact the parents, we found out from another parent what was going on. ', 'PS 152 reported a student homelessness rate of 17.5 percent, contributing to the more than five percent of students in Western Queens who have been homeless in the past five years, <a href=http://sunnysidepost.com/large-number-of-children-attending-western-queens-schools-are-homeless-according-to-report?utm_source=Master+Mailing+List&utm_campaign=0232797ec4-EMAIL_CAMPAIGN_2017_02_16&utm_medium=email&utm_term=0_23e3b96952-0232797ec4-75750697>Sunnyside Post reports</a>.', 'I love this school so far... My first five years were awesome. All the teachers here are helpful!\nRight now, I am in fifth grade. This school has brought me so far in life... Since there is no more sixth grade at this school anymore... I will be graduating I will always keep this school as my memory!', 'I love that school', 'She is the best', 'Hindsight f2f theft']"
30Q166,"['Schools Chancellor Carmen Fariña announced that 15 schools with existing Dual Language programs will become Model Dual Language Programs, including PS 166 Henry Gradstein, for the 2015-16 school year. The schools will receive $10,000 for multilingual instructional materials and staff will have ongoing professional development. Read more <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2015-2016/Chancellor+Farina+Names+15+Schools+Model+Dual+Language+Programs.htm"">here</a>.', ""As a parent I was informed by one of the teachers that the school received HIGHLY DEVELOPED on a formal Quality Review. A quality review is when independent representative visits the school and conducts a thorough evaluation. Including parent interviews, classroom visitations and thorough analysis of classrooms, curriculum, assessments and instruction.  Highly Developed is the highest rating and is difficult to achieve.  Very few schools in D30 have achieved this status. 166 is about quality and substance not just a pretty showcase! I'm so glad I choose this school 3 years ago. Many parents spoke highly of other school in the district, however in talking with them now we made the right choice. Go with your gut..just because a school has a good reputation dowa not mean they are still providing a quality education. "", 'Review above and post below are MISLEADING. Students entering the PS166 Gifted and talented program from 2013 on will NOT have priority at the IS126 Middle Gifted and Talented School. There is no assured path to a gifted and talented middle school from PS166 for incoming students. AVOID PS166 if you do not want your child to be tested for middle school.\n\nhttp://schools.nyc.gov/NR/rdonlyres/D5369995-5FC0-41F8-BF1A-6E8BAC200A23/144097/30QTBD_Q126_Q017_EIS_vFinal.pdf']"
30Q171,"['Out of the 700 schools tested for unsafe levels of lead in the water from their water fountains, PS 171 produced 17 out of the 132 samples that showed unsafe levels of lead, <a href=""https://www.dnainfo.com/new-york/20160630/corona/info-on-lead-levels-city-schools-water-isnt-reaching-parents-some-say"">DNAinfo reports</a>.', 'At an event at PS 171, U.S. Rep. Carolyn Maloney and organization Zone 126 donated more than 250 books to students in District 30. <a href=""http://www.qchron.com/editions/western/reading-remains-fundamental/article_ed283790-bc58-57fd-991e-6196cdf20d7e.html"">Queens Chronicle reports.</a>']"
30Q204,"['Take your kids to a charter school - this place is horrible!!!\nLleven a sus hijos a una escuela charter, ¡este lugar es horrible!\nاصطحب أطفالك إلى مدرسة مستأجرة ، هذا المكان فظيع!\nاپنے بچوں کو ایک چارٹر اسکول لے جائیں ، یہ جگہ خوفناک ہے!\nআপনার বাচ্চাদের একটি চার্টার স্কুলে নিয়ে যান, এই জায়গাটি ভয়াবহ!\n자녀를 차터 스쿨로 데려가십시오. 이곳은 끔찍합니다!\n带您的孩子去特许学校，这个地方太可怕了！', ""This is a terrific school. Every time I walk in, it's like I'm walking into the best kept secret in Queens.  The class sizes are great! My child is in his first year (6th) and I have yet to meet a teacher new to the school so it looks like teacher retention is pretty good. My child is a participant of the ASD Nest program that is new to the school this year and everything seems to be going well.  The speech therapist of the program is a seasoned ASD Nest educator too!  Having transferred from a non-public school to having IS 204 to being my child's first public school, I have been nothing but impressed.  The faculty has been awesome about incorporating assistive technology as well. They are clearly open to concepts for Universal Deslgn for Learning.\n\nMy child is also a participant of the Magnet STEM program and science seems to be a big part of school. Not only do they have an enrichment teacher who is a certified gifted ed teacher, but the school has many science-based afterschool programs (1- Intrepid Museum A/S program in our school and 2- Citizen Science - kids study ecology with researchers for later publication).  These afterschool programs also host during-school field trips and so on top of the frequent field trips he goes with his class, my child ends up going on a lot of field trips! \n\nThere are other programs at IS 204. I've heard great things about the Dual Language program and how well the students are doing there.  Additionally, there are two other major afterschool programs. (Beacon and City Year) Beacon, operated by the Greater Ridgewood Youth Council has a large variety of programs and City Year, staffed by AmeriCorps volunteers not only offer an afterschool program, they also support the school in the classroom and even on field trips! \n\nAs a parent of a child with special needs, it's so great to have frequent conversations with administration, teachers, and even City Year afterschool program staff, both by email and phone.  The school also uses Pupilpath to communicate grades. Everyone is so responsive. I've been quite grateful. We are very happy here."", 'The <a href=""http://schools.nyc.gov/Offices/mediarelations/NewsandSpeeches/2015-2016/Chancellor+Farina+Announces+38+New+Bilingual+Programs.htm"">Department of Education has announced</a> that IS 204 will have a Spanish dual language program from the start of the 2016-2017 school year.', ""Best skool in NYC. I'm in a cool way""]"
30Q212,"['PS 212 is one of many city schools using mindfulness and meditation to help ease student stress. Read more <a href=""http://www.nytimes.com/2015/10/24/nyregion/under-stress-students-in-new-york-schools-find-calm-in-meditation.html?ref=education"">here</a>.', "" Warning !!! This school is terrible for children with special needs.  It's terrible for most kids.  They would call and want to meet with parents when the teacher doesn't have any complaints or issues with the child. Principal has said that it doesn't matter if he behaves he still should go somewhere else"", 'This is 100% true !! I have witnessed this and she continues to get away with this . Please do not allow her to control you or your child . You have rights ! Report it !!', 'On the first day of school, Chancellor Carmen Fariña visited PS 212 and talked about the city\'s new dual language programs. Read more <a href=""http://ny.chalkbeat.org/2015/09/09/de-blasio-kicks-off-school-year-with-pre-k-praise-acknowledges-school-diversity-concerns/?utm_source=Master+Mailing+List&utm_campaign=7799e77840-Rise_Shine_9_10_2015&utm_medium=email&utm_term=0_23e3b96952-7799e77840-75578181#.VfgpPZ3BzGd"">here</a>.', 'This school is wonderful. Teachers, education and communication make parents feel really supported. The atmosphere is quite favorable for the education of children. I give five stars to this school. My daughter achieve a lot in Kindergartden, a level of reading and mathematics almost as second Grade.Thanks Mrs Kim from K # 204.', 'PS 212 received $25,000 in federal grants to expand its dual language Spanish program beginning in September 2015. Read more about the city\'s new and expanded dual language programs <a href=""http://www.dnainfo.com/new-york/20150114/downtown-brooklyn/40-new-expanding-dual-language-programs-coming-nyc-schools"">here.</a>', 'My son at the being of the school year had a problem in expreccing is feeling. The principle told me that I should send him back into pre-k she really did not want to deal with the issues, so what I did was went to speak to the super attendant and told him what was going on with my son and what she had told me.  He sure put her in her place, but now every time she see him or me she give us a nasty look. I try not to pay no made but it really bothers me.  \n', 'Wow ! I am actually going through something similar and I am doing the same but accept she put my son to the side during lunch time for 6 months to me this is a form\nOf corporal punishment . He was not allowed to be around his peers and as matter of fact she continued to try me and my son .', ""Well I was a student from P.S. 212 and I learned so much and I was glad i went to that school. I already graduated 5th grade (i'm in seventh grade right now) but the three years of learning that I had were fun and I can never forget the memories. As I grow up my childhood will always stay the same.""]"
30Q227,"[""I attend Luis Armstrong Middle School (LAMS) or IS 227q in queens and i'm a 5th grader so..."", 'bruh im a 8th grader bout to graduate', 'That this school is a special needs pick is laughable. Unless your child has a significant visual disability, you can forget get any support whatsoever.  My child had ADHD, DCD and anxiety, but because she had good grades, she was perceived as not eligible for services. Because of course, if you have good grades, everything is okay in the developmental and functional realms right? I wish insideschools would recruit ACTUAL parents of students with disabilities to make these reviews. This is not a 2e friendly school --- AVOID.', 'ok  karen', 'Actually, I attend this school, and we have a whole bunch of classes reserved for kids with special needs, who attend academical classes with their fellow helpers.', 'Wow... I can\'t believe that it was almost four years ago that I graduated from LAMS. From the pictures of the fitness room it is so hard to imagine that that use to be the girls locker room ( until kids were caught with drugs, then we weren\'t allowed to use them anymore for more then 4-5 minutes )  \n\nAnyway, from the comments here it seems that the school really changed after I graduated. I was one of the OG members of green team and the annual musical they put on, they had some fun things going for it but the school was honestly was horrible aside from some decent teachers. I was also house 2, and from what I remember the hallways were a warzone and constantly over crowded. The B.O from the gym was I suppose to be expected from teens going though changes, also Helen was new so I never got to know her well. The floors never really mingled and mostly stayed with there group on each floor unless you took a bus, then interaction would occur. The academics depended on the teacher, most teachers give time to help the students but from my experience only early sometimes in the morning ( which isn\'t possible sometimes to attend if you take the Logan or Pioneer cheese bus ) \n\nAlso they gave you a test in the 7th grade, depending on your score for the test you would be placed in either algebra 1 classes and advanced english or duel teaching classes for the less ""honed"" , this meant that not every student would be placed in smart classes. Honestly in hindsight I felt that that method was so ridiculous as to base intelligence on a single test. There are other ways people can show it though visual,  auditorial, or physical ways.\n\n I hope the school today has better teachers, cleaner bathrooms, less drugs, BETTER FOOD PLEASE ( LITERALLY I REMEMBER THE PACKAGED BURGERS AND IT HAD ICE ON THE PATTY ) , a different chorus teacher cause when I took his class he would favor one or two students and then the rest would be background noise,  and more activities for enrichment. Otherwise it might as well be 2016', '<a href=""https://chalkbeat.org/posts/ny/2019/07/25/after-41-years-in-the-same-job-this-queens-science-teacher-still-loves-the-constructive-chaos-of-the-classroom/?utm_source=newsletter&utm_medium=email&utm_campaign=cb_bureau_ny"">Chalkbeat</a> featured Louis Armstrong Middle School\'s science teacher Greg Grambo for his innovative methods of teaching. Grambo says that he enjoys the ""constructive chaos"" of watching students make discoveries on their own in the classroom.', 'I.S. 227 violates school cafeteria city health inspections, according to<a href=""https://www.ny1.com/nyc/all-boroughs/news/2019/02/23/hundreds-of-school-cafeterias-flunk-city-health-inspections""> Spectrum News NY1.</a>', 'House 4 is the best', 'Naw fam, House 3 is the best.', 'This is an amazing place.  It has an incredibly dedicated, fun and caring staff, with years and years of experience.  The principal, Ms. Ponella, is outstanding--visionary really.  The school\'s core belief is simple: every child is capable of excellence, and pre-sorting children into restrictive categories of achievement is a mistake.  And the school delivers.  Its state test scores currently match the best G&T schools in the borough.  By seventh grade, all students take accelerated math.  In 8th grade, 80% of all students take Regents classes, and of those, 100% pass the courses and the exams.  The school is particularly famous for its music and arts programs, yet it has equally great science and math programs (as the Regents results prove).  It has a competitive robotics and engineering team and a cool environmental science Green Team club.  The school looks for ways to involve students in its decisions, and to help them grow and mature.  There is an outstanding student organization that helps lead the school.  Students designed, engineered, and budgeted the new state-of-the-art outdoor play space.  Parent involvement is always welcomed.  Teachers are encouraged to keep growing professionally---many have advanced degrees.  Yet the students are always the focus.  We have been struck by how much of their free time teachers volunteer to the school--that\'s how much they care.  Every student has their own unique gifts, and students who are smart in one way learn from others who are smart in different ways.  It\'s an approach with dramatic results, which is why LAMS is called a ""model school"" and ranks in the Top 4% in New York State in terms of performance.  A large percentage of graduates go on to specialized and select high schools, and many come back to visit as alums, even many years later.  This is, in short, a place with high expectations, rigorous academics, and top-rate outcomes.  What a school!', 'About the percentage of students taking regents classes, its actually less than 50% per floor of 3 floors, this is because of limited spots so we take a test to see if we get in or not, but you are correct on the fact that 100% of the students pass.', 'I am the parent of a 6th grader.  I have found this school to be fantastic with supporting social and emotional development, which can be so dicey at middle school age.  The vast majority of the teachers are very good at what they do.  There is also a stronger music/arts program than at most non-specialized middle schools.  The only factor some families might perceive as a negative is that it is not an intense, highly competitive academic environment.  I do not, however, see this as negative.  Rather, the focus is on building organizational skills, interpersonal skills, and other skills that will allow for success at more rigorous academics down the line.', 'Louis Armstrong Middle School teacher Amy Spears used CPR to save a student who had stopped breathing after a seizure, the <a href=”http://www.nydailynews.com/new-york/queens/nyc-teacher-saves-seizure-stricken-kid-cpr-defibrillator-article-1.2839048”>New York Daily News reports</a>.', ""I am currently an eighth grader at I.S 227( im in house 2) and I have to say that it is the best school that you can go to, and if you are concerned about bullying or the school's environment, I can assure you that it bullying doesn't really happen. but when it does you can always go to your guidance counselor, and he/she will always listen. Bullying is always handled here and is not tolerated in any way, but it is also up to the students to speak up. in my opinion, the school is so much better now because of the eighth graders that just left last year. they were (some not all) focused on drama and their dating life. but other than that, the kids here are really nice. and let me just clear up the comments that say that people do drugs in this school because its really not true. im not gonna lie that no one does it at all, because there are people that have done it on other floors, but they have all gotten caught in one way or another. this year is so much better, and the kids in 7th, 6th and fifth grade are good kids. so, I would recommend for you to go here because it is a really good school!"", 'Can any parents of upperclassmen describe what to expect at the late summer orientation day?  How long is it?  Are school supply lists provided then?', 'A former teacher who resigned in April 2016 after being barred from working in NYC public schools had an illicit relationship with a student and kept images of several female students on a school laptop computer according to a report by the Special Commissioner of Investigation. Read more <a href=""http://nypost.com/2016/06/05/teacher-kept-photos-of-former-students-on-school-laptop-probe/?utm_source=Master+Mailing+List&utm_campaign=8d44452259-Rise_Shine_More_graduation_requirement_c6_6_2016&utm_medium=email&utm_term=0_23e3b96952-8d44452259-75745745"">here</a>.', ""Worst school ever. Jk. I mean the school is great with 4 houses and great teachers ( some of them ), but there is a lot of bullying! Also, THERE IS WAY TOO MUCH DRAMA! I drop out of this school at 6th grade and I have to say I was a lot happier in my zoned school. So if you're looking for a good school to go into, just remember that being in a good school doesn't mean you are going to be happy in it or learn something.The most important part is that you have to be happy in your school. I'm really happy in my zoned school and I learned WAY more stuff there than at I.s. 227. If you're looking forward to going to I.s.227, ALL I'M GOING TO SAY IS GOOD LUCK."", ""I really want to go to this school. If I can't, I hope I can switch to this school in 7th grade. How do you get the application? and switch to I.s.227 in the middle of the school year?"", 'Entry to LAMS for middle school is in 6th grade, and is by lottery, for student living in Queens only.  I am not aware that there are seats that open up for 7th graders, as there is high demand for LAMS seats, and few students leave.  If there were any seats for 7th grade, you would have had to have applied in 6th grade; again, there is a lottery, and it is only for students living in Queens at the time of their application.  Lastly, there is no way to switch to LAMS in the middle of the school year.', 'Thank you for answering. But how do you enter the lottery? And yes, I live in Queens. So you have to enter the lottery if you want to go to the school in 6th grade? When? At the beginning of the year or end? When is the time of the application? they used to give out the application at my old school at the end of 5th grade. Answer if you can. Anybody can answer. :)', ""Here is what their old website's home page says: Please ask your \t\tschool for an application or write us at: 32-02 Junction Boulevard,\n\t\tEast Elmhurst, New York, N.Y. 11369 \n*PHONE (718) 335-7500 \t\t* FAX (718) 779-7186 \nGiven that there seems to be no other publicly available info on the application process, I would recommend that you call or fax the school beginning the last week of August.  Many schools have administrative staff working then, even though school would not yet have started.  Good luck!"", ""I highly disagree with the downside, seeing as I go to this school, and I am going into 8th grade, and they have AP ( accelerated program classes ) for math, and science! I do not see how this would not challenge high achievers, because this is going to be a 9th grade course, and on top of the state tests, you will have the Regents tests as well! We also haven honor rolls, that kids have to get a high enough average to receive, and an Arista Honor Society, with juniors ( 7th graders ) included! I am a fourth floor student, and I love my floor, I can't really say much about the others, but my floor is amazing. The teachers were great, and I had the best year of my entire school life in 7th grade, House 4, and as long as you stay out of the wrong crowds, and get good grades, you will have a great years at LAMS."", ""You like?!',☺️😁"", 'À ', 'You like\n', ""LAMS is a fantastic middle school. The learning is mostly efficient and clear. The school is sanitary, but it doesn't have a nice aroma, due to the sweat. The teachers aren't bad. Based on the teachers I've had, they are too soft and can't tame the class. But when the class does pay attention, the real learning experience is explored. The cafeteria is quite small, as is the auditorium and library. The gymnasium and playground are pretty wide, though. It's a nice and cozy school. :)"", 'I remember Mr. Armstrong often held a hankie while he played.', '😳😘🚟🚒🚐😓😊😰😄😍🚮😨😨', '😄😃😀😊☺️😉😉😍😘😚😗😙😜😝😛😳😁😔😌😒😞😣😢😂😭😪😥😰😅😓😩😫😨😱', '', '😝😛😳😥😣😍😘😊☺️😃😀😄', 'Diversity and the arts are the focus for Louis Armstrong Middle School Principal Fahey. Read more <a href=""http://www.dnainfo.com/new-york/20141116/corona/diversity-arts-are-focus-for-school-named-after-legendary-musician"">here.</a>', ""I love this school soooo much. This school is  split up I to 4 houses or 4 floors. Each floor is a different house. It's called houses, because all of us stay in the same house through 6, 7 , and 8th grade, with the same student , and student councelor, and by 7th grade all of us know eaxhother. As the grades progress, enstead of charging floors and classmates all of us just move further down the hall. I love this school because of the teachers. The tea hers actually inspire us to learn and do things that are not payed to do just to help us. Like buy extra things. Almost all my teacher have a background history of going to college graduating, and training in just to become a teacher. All of my teacher are passionate about their job. Also my friends helped me alot. I'm not going to say much about my friends because then this will be like an essay but I know that they have been the most loyal and trustworthy friends I ever had and ever will get. By the way I'm in 8th grade right now and have been I. This school since 5th grade. Also all 5th grade classrooms are at the first floor. Bye and hope u enjoy this school as much as I do.\n\n\n"", 'I loved it here, went here in 2005-2006, I miss old teacher Miss Ellis, cant remember her first name', 'IS 227 will celebrate the opening of its new school garden on May 14.  <a href=""http://queenscourier.com/2014/east-elmhurst-students-to-plant-learn-from-school-garden/"">Read more here.</a>', 'i wanted to get into this school so badly but i never a chance :(', ""i went here to its all about social drama that's it and the teachers where terrible if you didn't have friends you were no one it was only about popularity and where you ranked when it came to dating."", ""So agreeing!  School isn't a place for social drama and if you're popular. And ranking when it came to dating? That's just silly.  The real popular people are the suppose to be the ones who are nice, kind, and friendly to everyone."", 'I ', 'im in hs too and im a third floor student who is this? btw i agree lol this school was alright thank goodness for my friends tbh']"
30Q230,"[""Yay I'm now in 7th and dang I'm so happy. Well 6th grade sucked so much. There were like so many posers and people trying to act cool. And then there were the followers.They are so mean. Anyway's it's my time to go to the main building! Oh and guess what! Ms.Putnam was meh chorus teacher. xD i love her so much"", 'My child is now 7th grade. I find the 7th grade teachers much more professional than the 6th, especially math, Ela and social studies. It is like a completely different school, another parent told me it is because of college and training and it is so easy to become teacher to grade 6.', 'im going to 6th grade and i would like some help on how the teachers are are they scary overworking or nice marshmellows and is there prom in 8t grade do they accept talents like photoshopping and editing those are my talents and animating i learned animating from my 2 friends do they accept that', 'I graduated 230 and it was an okay school, and let me get started on the teachers XD okay so you gotta get on their good side :) if your naughty they will be a pain in the butt, i gotta know your Academy so know what teachers your getting..and theres prom in 8th grade but i missed it v.v. Reply what Academy your going to so i can help you out :)', 'the annex im rlly scared im going to 609 what teacher am i getting and what is the plan for the day owo everyones going to 609 and 608 they are4 rllly popular i guee plz sofia help me', ""what ruined senior year was HALL SWEEP its hilarious watching people running to class after he announces the sweeep but im gonna miss this school even tho it was crowded, etc.. Also Gonna miss Carter and Monnestine and Lacey, they made the school better and my opinion towards the annex it was not Necessary because Sixth graders need to socialize with other grades and also they need a gym .. Not a gym with weights, end up being buff in 7th and beating up 8th graders lol, Not many fights so far as i know. This was school is freaking amazing and I wish they can improve some things.Its like i know the whole school and its the same people everyday so that's why i wanted to graduate badly. And yes,i know i was hilarious from all these years. :))) (Gonna miss sneaking outside lunch to the library, halls, WC etc..."", ""Well, as of right now, hall sweep isn't exactly here anymore, but the halls are closely monitored. Monnestine had left to join the NYPD, and the halls in the main building are crowded again due to the fact that the 7th grade population is bigger than the 8th grade."", 'IS 230 received $25,000 in federal grants to create a dual language Spanish program beginning in September 2015. Read more about the city\'s new and expanded dual language programs <a href=""http://www.dnainfo.com/new-york/20150114/downtown-brooklyn/40-new-expanding-dual-language-programs-coming-nyc-schools"">here.</a>', 'Ha, not working.', 'IS 230 is using chess to invigorate students\' lunch time in a pilot program to re- imagine the cafeteria. Read more <a href=""http://www.ny1.com/content/news/education/219473/middle-schools-re-imagine-cafeterias-in-pilot-program/"">here.</a>', 'IS 230 has opened a new annex that includes a library, exercise room, cafeteria and art studio. Read more <a href=""http://www.nydailynews.com/new-york/queens/overcrowded-queens-school-relief-article-1.1973066"">here</a>.', 'Is230 was the time of my life let me just tell you', ""I went to this middle school a few years ago and i transferred in the middle of 6th grade and i didn't have time to apply to any specialized middle schools, but i couldn't have gone to a better school, i was challenged and welcomed warmly and my choir teacher Ms. Putnam inspired me to pursue voice and now i'm a senior at one of the best performing arts schools in the city, thanks to my middle school, IS 230!"", 'Parents and students love the school. Ms. Terry has done an awesome job. I think   the teachers, parents, and students recognize  this and would agree with me. Ms. Terry treats everyone fairly and  she truly puts the interest of the students  first. I think I can speak for IS 230 and say we are glad that she is our principal.', 'IS 230 Principal Sharon Terry tells DNAInfo.com about her plans for the school, including the opening of an annex across the street in September 2014 and the start of a dual language program. Read more: http://dnain.fo/1fV4FYv', '<a href=""http://www.dnainfo.com/new-york/20140203/jackson-heights/dual-language-program-coming-is-230-advocate-says"">DNAinfo</a> reports that parents won the fight for a new dual language program at IS 230. Parents pushed for the program that will teach students in both Spanish and English after the school\'s boundaries were rezoned.', 'Parents at a recent meeting about the rezoning of IS 145 and IS 230 say they were left confused after the DOE gave a presentation without having enough translated materials for the audience. Read more <a href=""http://insideschools.org/middle/browse/school/1245"">here</a>.', 'The city has proposed plans to change the zoning boundaries for IS 230 and <a href=""http://insideschools.org/middle/browse/school/1245"">IS 145</a> as of September 2014. Read more <a href=""http://www.dnainfo.com/new-york/20140106/jackson-heights/rezoning-proposed-for-overcrowded-jackson-heights-middle-schools"">here</a>.', ""I'm going to I.s.230... It's my first year. Are you going to eighth grade or highschool? Anyways, if you were in eighth grade, there would be no way to see you. By the way, I don't even know you. Omg! Do you still play Fantage? I do."", 'i love that i think i might go  to that school in 6th gread', 'did u know theres a new principal his name is ron zirin lol funniest guy ever in the orientation i went to he was go take a bath at night or youll smell like  fish in the sea owo']"
