dbn,school_name,school_type,enrollment,rigor_instruction_rating,collab_teachers_rating,support_environ_rating,effective_lead_rating,fam_comm_ties_rating,trust_rating,student_achieve_rating,pct_pos_rigor_instruction,pct_pos_collab_teachers,pct_pos_supportive_environ,pct_pos_effective_lead,pct_pos_fam_comm_ties,pct_pos_trust,qr_challenge_curriculum,qr_effective_teaching_learning,qr_assess_student_learning,qr_high_expectations,qr_teacher_collab,qr_dates_of_review,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,yrs_principal_exp,pct_teachers_>=3_yrs_exp,student_attendance_rate,pct_chronic_absent,teacher_attendance_rate,sqr_rating,borough
01M015,P.S. 015 Roberto Clemente,Elementary,161,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.85,0.9,0.83,0.96,0.97,0.94,0.5,1.0,1.0,1.0,1,March 2017,0.05,0.23,0.006,0.889,0.398,0.77,0.124,0.28,0.553,0.037,8.9,0.64,0.928,0.227,0.974,6.0,manhattan
01M019,P.S. 019 Asher Levy,Elementary,239,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.87,0.92,0.85,0.9,0.98,0.91,0.5,0.5,0.5,0.5,0.5,October 2016,0.033,0.427,0.113,0.687,0.155,0.548,0.059,0.218,0.623,0.067,9.9,0.75,0.909,0.343,0.966,6.0,manhattan
01M020,P.S. 020 Anna Silver,Elementary,439,0.25,0.5,0.5,0.5,0.75,0.75,0.75,0.7,0.77,0.74,0.8,0.95,0.86,0.0,0.0,0.0,1.0,0,April 2017,0.144,0.264,0.093,0.772,0.164,0.647,0.289,0.13,0.506,0.036,2.9,0.667,0.925,0.296,0.966,5.0,manhattan
01M034,P.S. 034 Franklin D. Roosevelt,K-8,288,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.74,0.66,0.64,0.66,0.94,0.76,0.0,0.0,0.0,1.0,1,October 2017,0.076,0.392,0.028,0.949,0.295,0.875,0.028,0.33,0.601,0.028,2.7,0.545,0.885,0.455,0.968,4.0,manhattan
01M063,The STAR Academy - P.S.63,Elementary,207,1.0,1.0,0.75,0.75,1.0,0.75,0.75,0.8,0.86,0.87,0.9,0.96,0.92,0.5,1.0,0.5,0.5,0.5,May-19,0.019,0.362,0.019,0.76,0.261,0.623,0.019,0.213,0.652,0.082,11.9,0.591,0.908,0.347,0.967,6.0,manhattan
01M064,P.S. 064 Robert Simon,Elementary,204,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.9,0.94,0.86,0.95,0.97,0.95,1.0,1.0,1.0,1.0,0.5,January 2018,0.029,0.304,0.025,0.9,0.24,0.784,0.034,0.176,0.711,0.059,10.9,0.75,0.89,0.456,0.973,7.0,manhattan
01M110,P.S. 110 Florence Nightingale,Elementary,338,0.25,0.75,0.5,0.75,0.75,0.75,0.75,0.71,0.79,0.75,0.85,0.94,0.86,0.0,0.0,0.0,1.0,1,October 2016,0.024,0.127,0.012,0.591,0.154,0.423,0.151,0.107,0.447,0.26,11.1,0.708,0.941,0.229,0.974,5.0,manhattan
01M134,P.S. 134 Henrietta Szold,Elementary,267,0.75,0.5,0.5,0.25,0.75,0.5,0.75,0.69,0.61,0.57,0.64,0.91,0.77,1.0,1.0,1.0,0.5,1,10-Nov-15,0.09,0.449,0.146,0.915,0.221,0.869,0.097,0.255,0.607,0.03,1,0.839,0.893,0.455,0.962,4.0,manhattan
01M140,P.S. 140 Nathan Straus,K-8,373,0.75,0.75,0.5,1.0,0.75,0.75,0.5,0.77,0.83,0.67,0.88,0.93,0.89,1.0,1.0,1.0,1.0,1,January 2018,0.115,0.381,0.164,0.897,0.257,0.812,0.046,0.137,0.791,0.027,4.1,0.75,0.886,0.463,0.964,5.0,manhattan
01M142,P.S. 142 Amalia Castro,Elementary,302,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.74,0.79,0.69,0.83,0.96,0.84,1.0,1.0,1.0,1.0,1,February 2018,0.086,0.404,0.119,0.906,0.354,0.801,0.023,0.152,0.795,0.01,4,0.575,0.909,0.349,0.976,6.0,manhattan
01M184,P.S. 184m Shuang Wen,K-8,642,0.5,0.5,0.75,0.5,0.75,0.75,1.0,0.7,0.67,0.69,0.6,0.92,0.8,1.0,0.0,1.0,1.0,1,October 2016,0.154,0.167,0.016,0.676,0.131,0.519,0.701,0.042,0.129,0.072,8.1,0.577,0.976,0.046,0.982,5.0,manhattan
01M188,P.S. 188 The Island School,K-8,391,0.75,1.0,0.75,1.0,1.0,1.0,0.75,0.98,0.98,0.99,0.97,0.97,0.98,1.0,1.0,1.0,0.5,1,21-Jan-16,0.077,0.373,0.107,0.968,0.458,0.903,0.015,0.327,0.621,0.031,4.9,0.795,0.878,0.486,0.961,7.0,manhattan
01M315,The East Village Community School,Elementary,297,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.82,0.85,0.81,0.83,0.99,0.88,1.0,1.0,0.5,0.5,1,November-18,0.017,0.172,0.007,0.365,0.037,0.232,0.088,0.047,0.226,0.586,4.9,0.75,0.947,0.16,0.97,6.0,manhattan
01M332,University Neighborhood Middle School,Middle,209,0.5,1.0,0.75,0.75,0.75,0.75,0.5,0.81,0.91,0.69,0.9,0.89,0.91,1.0,0.0,0.0,1.0,1,January 2018,0.033,0.45,0.115,0.812,0.191,0.727,0.086,0.191,0.627,0.086,10.8,0.571,0.915,0.284,0.986,5.0,manhattan
01M361,The Children's Workshop School,Elementary,284,0.75,1.0,0.75,1.0,1.0,1.0,0.5,0.9,0.95,0.91,0.97,0.97,0.96,1.0,1.0,1.0,0.5,0.5,February-19,0.039,0.271,0.007,0.532,0.106,0.387,0.095,0.102,0.405,0.352,15.1,0.815,0.917,0.258,0.976,7.0,manhattan
01M378,School for Global Leaders,Middle,250,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.89,0.9,0.86,0.92,0.95,0.94,0.5,0.5,0.5,0.5,1,24-May-16,0.1,0.388,0.096,0.848,0.232,0.748,0.128,0.236,0.564,0.04,3.1,0.543,0.891,0.41,0.966,7.0,manhattan
01M450,East Side Community School,Middle,310,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9,0.95,0.84,0.95,0.97,0.95,0.5,1.0,0.5,0.5,0.5,26-May-15,0.01,0.31,0.032,0.605,0.119,0.435,0.103,0.132,0.555,0.187,17.9,0.811,0.955,0.083,0.975,7.0,manhattan
01M539,"New Explorations into Science, Technology and Math",K-8,1139,0.75,0.75,1.0,0.75,0.75,0.5,1.0,0.83,0.75,0.71,0.77,0.92,0.82,0.5,1.0,1.0,0.5,1,April 2017,0.023,0.054,0.002,0.194,0.01,0.101,0.367,0.04,0.076,0.414,4.1,0.738,0.964,0.047,0.965,4.0,manhattan
